variante,consultas,eps_anunciado,eps_empirico,eps_contable,tope_calibrado,positivas_D,positivas_Dp
correcta (se detiene en c),200,1.0,0.7156200364120039,1.0,10,10.0,10.0
rota (calibra a c=1 y no para),200,1.0,0.9088557533866369,58.80758333333333,1,99.9509,116.61516666666667
