escenario,fpr,tpr
sin DP,0.0,0.0
sin DP,0.045835726593911545,0.07053417576105686
sin DP,0.05134979896611143,0.08190695002871913
sin DP,0.05617461229178633,0.08925904652498565
sin DP,0.05904652498564043,0.09442848937392304
sin DP,0.062377943710511204,0.09982768523836875
sin DP,0.064330844342332,0.10511200459506032
sin DP,0.06685812751292361,0.1102814474439977
sin DP,0.06938541068351523,0.11487650775416428
sin DP,0.07225732337736933,0.11935669155657667
sin DP,0.07512923607122343,0.12245835726593912
sin DP,0.07823090178058587,0.1263641585295807
sin DP,0.08075818495117748,0.1315336013785181
sin DP,0.08317059161401494,0.134979896611143
sin DP,0.08535324526134405,0.1388856978747846
sin DP,0.08799540493968984,0.14359563469270534
sin DP,0.09029293509477312,0.14876507754164273
sin DP,0.09259046524985641,0.15301550832854682
sin DP,0.09431361286616886,0.15829982768523837
sin DP,0.09626651349798966,0.16346927053417576
sin DP,0.09879379666858128,0.16829408385985067
sin DP,0.10155083285468122,0.17208500861573808
sin DP,0.10396323951751867,0.17863296955772545
sin DP,0.10591614014933946,0.18219414129810454
sin DP,0.10798391728891442,0.18678920160827112
sin DP,0.11074095347501436,0.19345203905801264
sin DP,0.11326823664560598,0.19758759333716255
sin DP,0.1151062607696726,0.20402067777139574
sin DP,0.11717403790924756,0.20781160252728317
sin DP,0.11981619758759333,0.21631246410109134
sin DP,0.12199885123492246,0.22125215393452038
sin DP,0.12487076392877657,0.22423894313612866
sin DP,0.12774267662263067,0.22837449741527857
sin DP,0.13072946582423894,0.23388856978747846
sin DP,0.13348650201033888,0.23813900057438253
sin DP,0.13612866168868468,0.24422745548535324
sin DP,0.1383113153360138,0.25077541642734064
sin DP,0.14175761056863873,0.258012636415853
sin DP,0.14382538770821368,0.2641010913268237
sin DP,0.14646754738655945,0.2700746697300402
sin DP,0.14865020103388857,0.27570361860999426
sin DP,0.1514072372199885,0.28087306145893165
sin DP,0.15473865594485928,0.28604250430786904
sin DP,0.15703618609994255,0.29040781160252727
sin DP,0.1592188397472717,0.29557725445146465
sin DP,0.16197587593337162,0.3002871912693854
sin DP,0.16450315910396324,0.3058012636415853
sin DP,0.16840896036760483,0.31292360712234346
sin DP,0.17082136703044226,0.3170591614014934
sin DP,0.17323377369327972,0.32291786329695576
sin DP,0.17564618035611718,0.32682366456059736
sin DP,0.1781734635267088,0.3321079839172889
sin DP,0.18081562320505457,0.33957495692130957
sin DP,0.18334290637564618,0.3443997702469845
sin DP,0.18598506605399195,0.3487650775416427
