q,lote_equivalente,eps_amplificado,eps_sin_amplificar,ganancia
0.001,10,0.23561947310343598,1402.1217162956984,5950.788777463113
0.002,20,0.49110221913982244,1402.1217162956984,2855.050662877372
0.005,50,1.3169897422375592,1402.1217162956984,1064.6413341940693
0.01,100,2.8124595236071945,1402.1217162956984,498.5393405759561
0.02,200,6.1284892930548445,1402.1217162956984,228.7874954574308
0.05,500,18.156876628248163,1402.1217162956984,77.2226272724848
0.1,1000,44.05890489023176,1402.1217162956984,31.823798612084
0.25,2500,157.71321056406111,1402.1217162956984,8.890325111517367
0.5,5000,446.14784043806384,1402.1217162956984,3.1427289100379427
