tipo,eps_anunciado,eps_empirico,cociente,auc_canarios,canarios_dentro,canarios_fuera,umbral
naturales,1.0,0.0,0.0,0.5081878209696722,5918,6082,
mal etiquetados,1.0,0.028927037894595546,0.028927037894595546,0.5164794442266631,5976,6024,-5.740583896636963
extremos,1.0,0.19206197818864154,0.19206197818864154,0.5397537924932285,5977,6023,-5.216080665588379
naturales,4.0,0.0,0.0,0.5082222962228882,5982,6018,
mal etiquetados,4.0,0.219116427872298,0.0547791069680745,0.5173224624135105,5969,6031,-6.44793176651001
extremos,4.0,0.6883071993422978,0.17207679983557445,0.5945540369559537,5957,6043,-4.784740924835205
naturales,16.0,0.15958363434948486,0.009973977146842804,0.5271646969676053,6013,5987,-5.346126556396484
mal etiquetados,16.0,0.19348807143531904,0.01209300446470744,0.5407122124178187,5954,6046,-6.852742671966553
extremos,16.0,1.1733577572480538,0.07333485982800336,0.639798397594703,6046,5954,-4.790070056915283
