epsilon,sigma_clasica,sigma_exacta,exceso_pct
0.1,48.44805262605389,30.74956613197989,57.55686573953762
0.25,19.379221050421556,13.285525237088713,45.86718029273917
0.5,9.689610525210778,7.031826675583092,37.796492607766076
0.75,6.459740350140518,4.850574350083528,33.174751769948216
0.9,5.383116958450432,4.106624331724653,31.083744789231595
1.0,,3.7306316348167847,
1.5,,2.5825637203648704,
2.0,,1.9938124456452004,
3.0,,1.3905934566746736,
5.0,,0.8918682649517833,
