tope,n,sesgo,ruido,error_total,pct_recortados,provincia,papel
1,2903,-6.054081984154323,0.0004864044534298953,6.054085144572536,85.98002066827421,28,la mayor
2,2903,-5.1942817774715815,0.0009742926781166948,5.194274060560981,73.78573889080262,28,la mayor
3,2903,-4.456424388563555,0.0014587213394049174,4.4564374469642996,63.69273165690665,28,la mayor
5,2903,-3.277299345504651,0.0024194546705788847,3.277320709636149,46.60695831898036,28,la mayor
8,2903,-2.0830175680330694,0.003911676339664062,2.0829405717498184,28.62555976575956,28,la mayor
10,2903,-1.5459869100930073,0.004850126162430361,1.5459922455918567,21.495005167068552,28,la mayor
15,2903,-0.7340682053048573,0.007176375117027405,0.7340621763229903,10.127454357561144,28,la mayor
20,2903,-0.3479159490182573,0.00963472626871705,0.3479288526189047,4.547020323802962,28,la mayor
30,2903,-0.07819497071994519,0.01487795190330118,0.07862573772933636,1.2056493282810885,28,la mayor
50,2903,0.0,0.02468452576865208,0.01751671089520103,0.0,28,la mayor
70,2903,0.0,0.03327282536410425,0.023523138577946155,0.0,28,la mayor
100,2903,0.0,0.04912339221298612,0.034994121810345384,0.0,28,la mayor
1,138,-6.746376811594203,0.01007189664478897,6.746288234058716,87.68115942028986,26,una mediana
2,138,-5.869565217391305,0.020663938165598566,5.869102468305484,80.43478260869566,26,una mediana
3,138,-5.065217391304348,0.030314245043731453,5.064825751023077,71.01449275362319,26,una mediana
5,138,-3.7101449275362324,0.051453131089063305,3.7101651302136247,52.17391304347826,26,una mediana
8,138,-2.304347826086957,0.08270380743358437,2.305545675748226,33.33333333333333,26,una mediana
10,138,-1.7101449275362324,0.102400686333565,1.7108278674743425,23.18840579710145,26,una mediana
15,138,-0.8188405797101455,0.1544683455128273,0.8208498242497327,9.420289855072465,26,una mediana
20,138,-0.42028985507246386,0.2107776495395132,0.4240204128703647,6.521739130434782,26,una mediana
30,138,-0.02173913043478315,0.3061164870589766,0.21568974939531482,0.7246376811594203,26,una mediana
50,138,0.0,0.5053876828246261,0.3578049705680262,0.0,26,una mediana
70,138,0.0,0.731932984446742,0.5166610357026887,0.0,26,una mediana
100,138,0.0,1.0139870957768633,0.7181431704258063,0.0,26,una mediana
1,25,-9.8,0.05720705551972912,9.799678406628246,100.0,52,la menor
2,25,-8.8,0.11181206035800202,8.800396247597579,84.0,52,la menor
3,25,-7.960000000000001,0.16909266097187794,7.96191259251267,84.0,52,la menor
5,25,-6.36,0.2777942469656162,6.36741197696784,76.0,52,la menor
8,25,-4.4,0.44253816905072824,4.404535769812687,52.0,52,la menor
10,25,-3.4000000000000004,0.5741656913350853,3.403504905402654,36.0,52,la menor
15,25,-2.280000000000001,0.8571104461577235,2.29680615337008,12.0,52,la menor
20,25,-1.6800000000000015,1.1046926138813,1.773436068204709,8.0,52,la menor
30,25,-1.2400000000000002,1.7154888862386308,1.668828002211895,4.0,52,la menor
50,25,-0.4400000000000013,2.8027680567140285,2.0422714661194106,4.0,52,la menor
70,25,0.0,4.023857009951235,2.8583536368827476,0.0,52,la menor
100,25,0.0,5.811239709221717,4.020792772348357,0.0,52,la menor
