epoca,fraccion_recortada,norma_mediana,snr,exactitud_prueba
1,0.837890625,9.139747507431927,0.12975731238275423,0.5514072372199885
2,0.7196691176470589,9.434967475778917,0.10190898704342195,0.5546237794371051
3,0.7165670955882353,9.458038947161507,0.09813927077342477,0.5577254451464676
4,0.7204733455882353,9.752425320008221,0.09177586264600565,0.5616312464101091
5,0.7136948529411765,9.86809058750377,0.09573534251652642,0.5592188397472717
6,0.7172564338235294,9.871452626060037,0.08927256442288198,0.5626651349798966
7,0.7094439338235294,9.76983216229607,0.09206130719819251,0.5638139000574383
8,0.7138097426470589,9.590533102259917,0.08742352623155322,0.56496266513498
9,0.712890625,9.635235772413367,0.08600627601559409,0.56082711085583
10,0.7154181985294118,9.76828255372889,0.0957216749581871,0.5658816771970132
11,0.7104779411764706,9.821311473846436,0.09421479267479971,0.5655370476737507
12,0.7134650735294118,9.557503461837769,0.0902818334501344,0.5655370476737507
13,0.7092141544117647,9.731128019445082,0.08689682051264341,0.563699023549684
14,0.7018612132352942,9.663032054901123,0.0928537486879281,0.5655370476737507
15,0.7045036764705882,9.513267587212955,0.08909493804295632,0.5642734060884549
