modelo,repeticiones,rango,exposicion
memorizador,1,4,7.965784284662087
memorizador,2,1,9.965784284662087
memorizador,4,1,9.965784284662087
memorizador,8,1,9.965784284662087
memorizador,16,1,9.965784284662087
memorizador,32,1,9.965784284662087
regularizado,1,289,1.7908586021614088
regularizado,2,176,2.5022599113909063
regularizado,4,48,4.365871442474959
regularizado,8,1,9.380821783940931
regularizado,16,1,9.965784284662087
regularizado,32,1,9.965784284662087
