epocas,epsilon,exactitud_dp,exactitud_dp_sd,exactitud_sin_dp
5,2.9988006649585572,0.560137851809305,0.0017821292403936522,0.5405705533218456
10,2.995773702413797,0.5522879571127705,0.010223937481687019,0.5507179781734636
20,2.9932155027614793,0.5560405896994065,0.005782244350831804,0.5578403216542217
30,2.9959505413924186,0.5578403216542217,0.004555641761429238,0.561707830748612
50,2.991323579793279,0.5527857553130385,0.008285455678463848,0.5588359180547579
80,2.993282338356825,0.5532069691748037,0.011327364764778197,0.5635458548726785
