epoca,pasos,rdp,prv,gdp,sin_amplificar,basica
1,39,1.7978114819973954,1.347795546509787,0.7635582284758559,49.46678471687741,22.454203857023924
2,78,2.089119563458275,1.67250505796437,1.116715376196668,81.37943336732283,44.90840771404785
3,117,2.335226931113217,1.9337347175587074,1.3964811823563739,110.4039936691102,67.36261157107177
4,156,2.556712279953877,2.1620700660191625,1.6376866126914817,137.93356943375483,89.8168154280957
5,195,2.761025635135049,2.3688148351140645,1.854012477716298,164.50776769403967,112.27101928511962
6,234,2.9529103522319,2.5598150769848704,2.052539567137313,190.40333178818292,134.72522314214353
7,273,3.134610848716019,2.7386170904057434,2.2375032563646364,215.78465995306874,157.17942699916748
8,312,3.308288316212745,2.907583674296188,2.411678449171969,240.75886673464566,179.6336308561914
9,351,3.4742496024072613,3.0683900633788426,2.5770015495276906,265.40035415063227,202.0878347132153
10,390,3.6338780335519587,3.2222784614627336,2.7348880645585525,289.76329385725666,224.54203857023924
11,429,3.788111245139076,3.3702016061843523,2.8864103211839356,313.888581079239,246.99624242726316
12,468,3.9375374688688187,3.512909957036735,3.032403998695517,337.8079873382204,269.45044628428707
13,507,4.082713180595863,3.651007595541785,3.1735355263389624,361.54677885749214,291.904650141311
14,546,4.223481245501712,3.7849895021289024,3.31034661414423,385.1254413937688,314.35885399833495
15,585,4.360454009511499,3.915267439423264,3.4432847465748533,408.56085814784916,336.81305785535886
16,624,4.494396062071966,4.042188410004534,3.5727246997502027,431.86713886750965,359.2672617123828
17,663,4.625822680394005,4.166048128714696,3.698984117387614,455.05621864783063,381.7214655694067
18,702,4.753570388037045,4.287101065282523,3.8223350369244096,478.1383001019685,404.1756694264306
19,741,4.87894110743902,4.405568112902306,3.9430125839543635,501.1221862437078,426.6298732834545
20,780,5.002621804430599,4.521642520024843,4.061221642183106,524.0155353880793,449.0840771404785
21,819,5.122718170186885,4.635494444531836,4.1771420473426515,546.8250592995366,471.5382809975024
22,858,5.242162484848358,4.747274722811577,4.290932686016728,569.5566793072777,493.9924848545263
23,897,5.358053534260999,4.857117817286562,4.40273476925184,592.2156507975266,516.4466887115502
24,936,5.4736999062873615,4.9651441504789915,4.512674475525119,614.8066635763658,538.9008925685741
25,975,5.585851227972046,5.07146211558203,4.620865105632119,637.3339235843871,561.355096425598
26,1014,5.69800254965673,5.176169713019048,4.7274088554178935,659.801220030992,583.809300282622
27,1053,5.807033894202346,5.2793558485863885,4.83239828613843,682.2119810073307,606.2635041396459
28,1092,5.915539165166631,5.381101531320882,4.935917553248554,704.5693199061375,628.7177079966699
29,1131,6.022557405855263,5.481480788809874,5.038043440467392,726.8760744403044,651.1719118536938
30,1170,6.1275040414478195,5.580561488334941,5.138846235590533,749.1348396533482,673.6261157107177
31,1209,6.232450677040375,5.678406030384217,5.2383904767067975,771.3479960152295,696.0803195677416
32,1248,6.334896278365769,5.775071964014538,5.33673559153706,793.5177334692913,718.5345234247656
33,1287,6.43636611116371,5.870612488546766,5.43393644804195,815.6460721214207,740.9887272817895
34,1326,6.5378359439616505,5.965076886974,5.530043830919553,837.7348801272975,763.4429311388134
35,1365,6.6368514158441565,6.058510947296148,5.625104855839249,859.785889228017,785.8971349958373
36,1404,6.734921278513404,6.150957290680779,5.71916333108699,881.8007083012645,808.3513388528612
37,1443,6.832991141182651,6.242455643525032,5.812260074565173,903.7808352293353,830.8055427098851
38,1482,6.929796022750383,6.33304315065777,5.90443319271125,925.7276673326759,853.259746566909
39,1521,7.024538250985407,6.422754568836852,5.995718326784256,947.6425105753351,875.713950423933
40,1560,7.11928047922043,6.511622517821155,6.0861488710760625,969.5265877145133,898.168154280957
41,1599,7.214022707455453,6.599677580104188,6.1757561668629375,991.3810455385701,920.6223581379809
42,1638,7.306678189427216,6.686948584452815,6.264569675315907,1013.2069613150941,943.0765619950048
43,1677,7.398161057963911,6.773462650413745,6.352617132102603,1035.0053485519163,965.5307658520287
44,1716,7.489643926500605,6.859245383466866,6.439924685992986,1056.777162158478,987.9849697090526
45,1755,7.581126795037299,6.944320937774091,6.526517023450291,1078.5233030821191,1010.4391735660765
46,1794,7.671211701396603,7.028712220612681,6.612417480902229,1100.2446224831378,1032.8933774231004
47,1833,7.7594998037816625,7.11244086681428,6.697648146152216,1121.9419255034884,1055.3475812801244
48,1872,7.84778790616672,7.195527424373017,6.782229950184857,1143.6159746764408,1077.8017851371483
49,1911,7.9360760085517805,7.277991384081869,6.866182750462047,1165.267493018142,1100.2559889941722
50,1950,8.024364110936839,7.359851261023452,6.949525406648367,1186.8971668366141,1122.710192851196
51,1989,8.110476381485277,7.441124674120007,7.032275849598919,1208.5056482891318,1145.16439670822
52,2028,8.195630962260111,7.521828401905382,7.114451144318301,1230.0935577149844,1167.618600565244
53,2067,8.280785543034945,7.601978429579768,7.196067547533574,1251.6614857672796,1190.0728044222678
54,2106,8.365940123809779,7.68158999597151,7.277140560427847,1273.2099953645488,1212.5270082792917
55,2145,8.451094704584612,7.760677678259479,7.357684977025217,1294.7396234804278,1234.981212136316
56,2184,8.535276959468563,7.839255371366886,7.437714928657632,1316.2508827875376,1257.4354159933398
57,2223,8.617356206013355,7.917336394922747,7.5172439248949585,1337.7442631698264,1279.8896198503637
58,2262,8.699435452558147,7.9949334654603526,7.596284891276617,1359.2202331160086,1302.3438237073876
59,2301,8.78151469910294,8.072058783351036,7.674850204143959,1380.679241005337,1324.7980275644115
60,2340,8.863593945647734,8.148724058982253,7.752951722845463,1402.1217162956984,1347.2522314214355
