k,via,filas,eps_por_ejemplo,eps_por_persona,ventaja_adversario,exactitud
1,ignorar,8705,8.0,8.0,0.9816843611112658,0.565958261535516
1,calibrar a k,8705,8.0,8.0,0.9816843611112658,0.565958261535516
1,recortar a tope,8705,8.0,8.0,0.9816843611112658,0.565958261535516
3,ignorar,26115,8.0,24.0,0.9999938557876467,0.5617078307486119
3,calibrar a k,26115,2.6666666666666665,8.0,0.9816843611112658,0.5632778096879189
3,recortar a tope,26115,2.6666666666666665,8.0,0.9816843611112658,0.5629331801646563
10,ignorar,87050,8.0,80.0,1.0,0.543365881677197
10,calibrar a k,87050,0.8,8.0,0.9816843611112658,0.5566149722381774
10,recortar a tope,26115,2.6666666666666665,8.0,0.9816843611112658,0.5642734060884549
