mecanismo,media,desviacion,maxima,p_supera_eps,sigma,delta_pedido,delta_exacto
gauss,0.036092943062884096,0.268146792631063,1.3298412446409222,0.0002,3.7306316348167847,1e-05,9.999999999962947e-06
laplace,0.3683070051324229,0.8105810112965639,1.0,0.0,3.7306316348167847,1e-05,9.999999999962947e-06
