escenario,lr,exactitud_validacion,epsilon,epsilon_gastado,exactitud_dentro,exactitud_fuera,exactitud_fuera_sd,brecha,mia_auc,mia_tpr_1pct,mia_tpr_01pct,segundos
"sin DP, sin recorte",0.003,0.5609802795328355,inf,inf,0.5684089603676048,0.561707830748612,0.001613732146713007,0.006701129618992829,0.5045787580954342,0.009534750143595635,0.0014551024315527475,1.2938320916922141
recorte sin ruido,0.3,0.5797434424660158,inf,inf,0.5822707256366072,0.5661114302125215,0.0017907475322366325,0.016159295424085673,0.5070766128211904,0.009113536281830365,0.000880719892781926,2.6660483613765487
eps=0.5,0.3,0.5581083668389814,0.5,0.4981139168388112,0.5595634692705341,0.5576488608079647,0.002388584365115894,0.0019146084625694115,0.5021656388155469,0.008768906758567873,0.0007658433850277618,2.8275581310347966
eps=1,0.3,0.5609802795328355,1.0,0.9952045368800667,0.5704384453379284,0.5627800114876508,0.0008283862781077066,0.007658433850277646,0.5036816392127649,0.00945816580509286,0.0006396706873444382,2.8432458026800305
eps=2,0.3,0.559257131916523,2.0,1.9905239937768024,0.5751866743251005,0.5641202374114492,0.001067383485718269,0.011066436913651279,0.5051948991135506,0.008577445912310931,0.0006892590465249856,2.801754587989611
eps=4,2.0,0.5496840896036761,4.0,3.993853889346142,0.5789010147424851,0.5637756078881869,0.0004349154390810048,0.015125406854298196,0.5092318373104073,0.008960367604824812,0.0006126747080222094,2.8482825562823564
eps=8,0.3,0.5648094964579743,8.0,7.991526369281954,0.5811985448975684,0.5656519241815049,0.000698766516978551,0.015546620716063497,0.5067994135865499,0.009151828451081754,0.0013019337545471953,2.885845426664067
eps=16,2.0,0.5720850086157382,16.0,15.993390303094523,0.5964771204288724,0.5639670687344438,0.002084726416054549,0.032510051694428554,0.5197628546823174,0.009190120620333142,0.0006892590465249856,2.807291520293802
