lote,q,pasos,sigma,ruido_efectivo
32,0.0032,6240,0.7196044921875,0.022487640380859375
64,0.0064,3120,0.831298828125,0.012989044189453125
128,0.0128,1560,1.0009765625,0.00782012939453125
256,0.0256,780,1.25732421875,0.0049114227294921875
512,0.0512,380,1.6259765625,0.0031757354736328125
1024,0.1024,180,2.138671875,0.0020885467529296875
2048,0.2048,80,2.7734375,0.001354217529296875
4096,0.4096,40,3.80859375,0.0009298324584960938
