k,eps_basica,ruido_basica,eps_avanzada,ruido_avanzada,eps_zcdp,ruido_zcdp
1,1.0,1.0,0.18323029598543833,5.457612752420986,0.20405851288067087,4.900555168628417
2,0.5,2.0,0.1296883728737283,7.710791475297903,0.14429115821676483,6.9304315826318765
5,0.2,5.0,0.08209028739178507,12.181709088523325,0.0912577412377393,10.957974484541085
10,0.1,10.0,0.058070399441472687,17.22047737949294,0.0645289676649727,15.496916132176327
20,0.05,20.0,0.041073735461036084,24.3464586012303,0.04562887061886965,21.91594896908217
50,0.02,50.0,0.025983852149802804,38.48544065886664,0.028858231643352966,34.652157913159385
100,0.01,100.0,0.018375674103628975,54.41977226851841,0.020405851288067087,49.00555168628417
200,0.005,200.0,0.01299471751606467,76.95434693087817,0.014429115821676483,69.30431582631877
500,0.002,500.0,0.008219226590901478,121.66594860725463,0.00912577412377393,109.57974484541084
1000,0.001,1000.0,0.005812100471637,172.0548371247179,0.00645289676649727,154.96916132176327
2000,0.0005,2000.0,0.004109890328693441,243.31549506770077,0.004562887061886965,219.1594896908217
5000,0.0002,5000.0,0.002599387169338049,384.70606141164285,0.0028858231643352967,346.5215791315938
