forma,dimension,epsilon,error_laplace,error_gauss,gana
histograma,1,0.1,20.624231746728224,33.420948716958385,laplace
histograma,1,0.25,7.973137764540536,15.615821261193755,laplace
histograma,1,0.5,4.191794249967413,7.871427325577251,laplace
histograma,1,0.75,2.567896581734522,5.42507339435233,laplace
histograma,1,0.9,2.0862966235941447,4.517983747177111,laplace
histograma,1,1.0,1.986439975387164,4.264108595608647,laplace
histograma,1,1.5,1.261604581276858,2.8553807178605295,laplace
histograma,1,2.0,1.045410419382209,2.2526608009126647,laplace
histograma,1,3.0,0.6889863980488765,1.6060656379039764,laplace
histograma,1,5.0,0.3923644947207434,1.049983844526547,laplace
histograma,2,0.1,21.32935994030814,33.83240186751104,laplace
histograma,2,0.25,8.21010212274663,15.2360690020682,laplace
histograma,2,0.5,4.057290367549773,7.900013987051425,laplace
histograma,2,0.75,2.7978086779736406,5.645136916261042,laplace
histograma,2,0.9,2.2932134198822776,4.783767336807089,laplace
histograma,2,1.0,1.9042076098981955,4.38525229995449,laplace
histograma,2,1.5,1.3479560615299233,2.964788379544264,laplace
histograma,2,2.0,0.9655794709087627,2.2416666118046322,laplace
histograma,2,3.0,0.6910910610432554,1.566791893023787,laplace
histograma,2,5.0,0.4228001879691375,0.9662087699936468,laplace
histograma,6,0.1,19.85050903168198,34.816958660251174,laplace
histograma,6,0.25,8.044625668648706,15.180355382895709,laplace
histograma,6,0.5,4.101213707104018,7.902315747911404,laplace
histograma,6,0.75,2.564403367057286,5.483806513858686,laplace
histograma,6,0.9,2.1720701319811035,4.635757341269926,laplace
histograma,6,1.0,2.062360066132402,4.204840392306747,laplace
histograma,6,1.5,1.3091025248531534,2.890188311440271,laplace
histograma,6,2.0,0.9613232479621437,2.21810094105969,laplace
histograma,6,3.0,0.6971590211946452,1.5918459220597758,laplace
histograma,6,5.0,0.38842786200812585,1.0006648782113674,laplace
histograma,20,0.1,19.69215760324949,34.170362928448085,laplace
histograma,20,0.25,7.981709443701236,14.917512236052382,laplace
histograma,20,0.5,3.922120948856482,7.914984826887183,laplace
histograma,20,0.75,2.6752819770321645,5.483169332462026,laplace
histograma,20,0.9,2.236756502534953,4.606747256993829,laplace
histograma,20,1.0,2.0114452177639737,4.212418316704533,laplace
histograma,20,1.5,1.3432347691118414,2.947587689492579,laplace
histograma,20,2.0,0.9954912273727831,2.2384506914219773,laplace
histograma,20,3.0,0.6549228915599602,1.5711203924145087,laplace
histograma,20,5.0,0.400633199377666,0.994043223500746,laplace
histograma,52,0.1,19.809402035484247,34.9266328708246,laplace
histograma,52,0.25,8.076835784448296,14.920043818284027,laplace
histograma,52,0.5,4.001222307629871,7.893384573828126,laplace
histograma,52,0.75,2.6447600381221448,5.493350846861023,laplace
histograma,52,0.9,2.204329918108363,4.630644578553874,laplace
histograma,52,1.0,2.0087719845788565,4.181688336792712,laplace
histograma,52,1.5,1.3299101439621253,2.9081844084757225,laplace
histograma,52,2.0,1.0053407839991342,2.2562256510605474,laplace
histograma,52,3.0,0.6702757590833481,1.5550622086253731,laplace
histograma,52,5.0,0.3988279636477766,1.0122684799446673,laplace
histograma,100,0.1,19.95798447350655,34.842364041531596,laplace
histograma,100,0.25,7.975383657706888,14.977932027257976,laplace
histograma,100,0.5,4.020032597101389,7.964701211101585,laplace
histograma,100,0.75,2.6542697017894685,5.478826736051069,laplace
histograma,100,0.9,2.2105993021906105,4.641116717861579,laplace
histograma,100,1.0,1.9945960082796474,4.19823796823577,laplace
histograma,100,1.5,1.330465505489959,2.9174789409496427,laplace
histograma,100,2.0,1.003475476219322,2.252806399697783,laplace
histograma,100,3.0,0.6620104144206235,1.5741639184407312,laplace
histograma,100,5.0,0.397168196133547,1.0071259479884211,laplace
histograma,311,0.1,19.947053864488783,34.57998166401876,laplace
histograma,311,0.25,8.012590797506538,14.993183783060404,laplace
histograma,311,0.5,4.013602606713706,7.929204247652774,laplace
histograma,311,0.75,2.670151587234843,5.464310150832185,laplace
histograma,311,0.9,2.2236612309273207,4.635490087044297,laplace
histograma,311,1.0,2.003702109427568,4.186747712865951,laplace
histograma,311,1.5,1.3361436195354164,2.924845818152535,laplace
histograma,311,2.0,1.0015760103359543,2.2334463288877227,laplace
histograma,311,3.0,0.6622299173026704,1.5658614911349256,laplace
histograma,311,5.0,0.40216437747518735,1.0099214266127772,laplace
histograma,1000,0.1,19.99974789046744,34.75499856070623,laplace
histograma,1000,0.25,7.995249960146863,14.997341126524018,laplace
histograma,1000,0.5,3.9970193488182653,7.9307888605635615,laplace
histograma,1000,0.75,2.6647052127973754,5.469968112904249,laplace
histograma,1000,0.9,2.219728706447211,4.634002936365513,laplace
histograma,1000,1.0,1.9998397405368584,4.210863736421004,laplace
histograma,1000,1.5,1.3350109227511653,2.9119346706220606,laplace
histograma,1000,2.0,0.9996836214999167,2.2543167948593927,laplace
histograma,1000,3.0,0.6675565007958104,1.5682015017344733,laplace
histograma,1000,5.0,0.4003339653699824,1.0062212963852026,laplace
acumulada,1,0.1,10.319642235509159,23.805535338081423,laplace
acumulada,1,0.25,3.6130081409142702,10.937467535252871,laplace
acumulada,1,0.5,2.1593587513017782,5.6943009164496585,laplace
acumulada,1,0.75,1.3538934237618554,3.701313001787871,laplace
acumulada,1,0.9,1.0322798445779862,3.266472940955274,laplace
acumulada,1,1.0,1.0113822636859309,3.023632516432354,laplace
acumulada,1,1.5,0.6818947350408672,2.065634509539254,laplace
acumulada,1,2.0,0.49761560713233566,1.5977829589197174,laplace
acumulada,1,3.0,0.31991598327151377,1.1506237541887332,laplace
acumulada,1,5.0,0.22428757146406625,0.7223352785742534,laplace
acumulada,2,0.1,19.99841694284247,35.100701680487994,laplace
acumulada,2,0.25,7.699893023002744,15.43377227356441,laplace
acumulada,2,0.5,3.834957558493997,7.773233039977547,laplace
acumulada,2,0.75,2.7451390985189272,5.663944086696329,laplace
acumulada,2,0.9,2.284232378348977,4.783127964951794,laplace
acumulada,2,1.0,1.968135901758844,4.109910737121506,laplace
acumulada,2,1.5,1.2931033317780205,2.9883997572930836,laplace
acumulada,2,2.0,0.9581908959229417,2.352458081263508,laplace
acumulada,2,3.0,0.6980924538395632,1.5807593644827318,laplace
acumulada,2,5.0,0.40426525392930146,1.0132683238065083,laplace
acumulada,6,0.1,59.1680458807884,59.31486939904427,laplace
acumulada,6,0.25,24.475426913567293,26.418616772960185,laplace
acumulada,6,0.5,11.957207376229052,13.522299999510956,laplace
acumulada,6,0.75,7.86594163382083,9.577752134980623,laplace
acumulada,6,0.9,6.7959853024620545,8.039418294380523,laplace
acumulada,6,1.0,6.011221370060252,7.338683243750839,laplace
acumulada,6,1.5,4.092873477456686,5.04578299575597,laplace
acumulada,6,2.0,2.9207573063255454,3.8455338802255037,laplace
acumulada,6,3.0,1.9868393465942733,2.7803106635850203,laplace
acumulada,6,5.0,1.137659323513265,1.7464892396667437,laplace
acumulada,20,0.1,201.11116195293928,108.56353997186757,gauss
acumulada,20,0.25,80.41615248104556,46.77256344949513,gauss
acumulada,20,0.5,39.92592229925985,24.75773889160624,gauss
acumulada,20,0.75,27.325151356114254,17.311516490190108,gauss
acumulada,20,0.9,22.175706373818016,14.719356698547271,gauss
acumulada,20,1.0,19.982907463991076,13.267349372357769,gauss
acumulada,20,1.5,13.377750271700842,9.372162622092832,gauss
acumulada,20,2.0,9.96012703286336,7.16545022494538,gauss
