factor,sexo,edad_min,edad_max,prevalencia,fuente
colesterol_elevado,F,55,64,0.28,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
colesterol_elevado,M,65,74,0.36200000000000004,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
colesterol_elevado,F,65,74,0.35100000000000003,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
colesterol_elevado,M,75,84,0.368,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
colesterol_elevado,F,75,84,0.4,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
colesterol_elevado,M,85,120,0.342,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
colesterol_elevado,F,85,120,0.332,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
obesidad,M,15,24,0.075,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
obesidad,F,15,24,0.066,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
obesidad,M,25,34,0.106,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
obesidad,F,25,34,0.106,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
obesidad,M,35,44,0.113,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
obesidad,F,35,44,0.11900000000000001,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
obesidad,M,45,54,0.171,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
obesidad,F,45,54,0.155,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
obesidad,M,55,64,0.21100000000000002,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
obesidad,F,55,64,0.179,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
obesidad,M,65,74,0.203,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
obesidad,F,65,74,0.226,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
obesidad,M,75,84,0.172,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
obesidad,F,75,84,0.187,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
obesidad,M,85,120,0.10800000000000001,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
obesidad,F,85,120,0.165,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
tabaquismo,M,15,24,0.13,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
